id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
4108,懷特,1238.00 ,1087.00 ,708.00 ,587.00 ,0.63 ,0,0.00 
4119,旭富,876.00 ,727.00 ,696.00 ,634.00 ,0.18 ,0,0.00 
4133,亞諾法,867.00 ,726.00 ,621.00 ,547.00 ,0.44 ,0,0.00 
4137,麗豐-KY,N/A,N/A,N/A,N/A,0.73 ,0,0.00 
4142,國光生,926.00 ,800.00 ,623.00 ,564.00 ,0.26 ,7,0.01 
4148,全宇生技-KY,N/A,N/A,N/A,N/A,0.24 ,5,0.01 
4155,訊映,797.00 ,673.00 ,709.00 ,623.00 ,0.50 ,0,0.00 
4164,承業醫,1722.00 ,1546.00 ,1019.00 ,857.00 ,0.06 ,6,0.03 
4190,佐登-KY,N/A,N/A,N/A,N/A,0.00 ,0,0.00 
4306,炎洲,701.00 ,597.00 ,571.00 ,537.00 ,0.30 ,0,0.00 
