代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
2618,1,1,0,0,0,0,0,0,0,0
2630,0,1,0,0,0,0,0,0,0,0
2633,0,1,0,0,0,0,0,0,0,0
2634,1,1,1,0,0,0,0,1,0,0
2636,0,1,0,0,0,0,1,0,0,0
2637,1,1,0,0,0,1,0,0,0,0
2642,1,1,0,0,0,0,0,0,0,0
2701,0,1,0,0,0,0,0,0,0,0
2702,0,1,0,0,0,0,0,0,0,0
2704,1,1,0,0,0,0,0,0,0,0
2705,0,1,0,0,0,0,0,0,0,0
2706,1,1,0,0,0,0,0,0,0,0
2707,0,1,1,0,0,0,0,0,0,0
2712,0,1,0,0,0,0,0,0,0,0
2722,0,1,0,0,0,0,0,0,0,0
2723,0,1,0,0,0,0,1,0,0,0
2727,0,0,0,0,0,0,0,0,0,0
2731,0,1,0,0,0,0,0,0,0,0
2739,0,1,0,0,0,0,1,0,1,0
2748,0,1,0,0,0,0,0,0,0,0
2753,0,1,0,0,0,0,0,0,0,0
2801,0,1,0,0,0,0,0,0,0,0
2809,0,1,0,0,0,0,1,0,0,0
2812,1,1,0,0,0,0,0,0,0,0
2816,0,1,0,0,0,0,1,0,0,0
2820,1,1,0,0,0,0,0,0,0,0
2832,0,1,0,0,0,1,1,0,0,0
2834,0,1,0,0,0,0,0,0,0,0
2836,1,1,0,0,0,1,0,1,0,0
2838,1,1,0,0,0,0,0,0,0,0
2845,1,1,0,0,0,0,1,0,0,0
2849,1,1,1,0,0,1,0,1,0,1
2850,0,1,1,0,0,0,1,0,0,0
2851,0,1,0,0,0,0,1,0,0,0
2852,1,1,1,0,0,0,1,0,0,0
2867,1,1,0,0,0,0,1,0,0,0
2880,0,1,0,0,0,0,0,0,0,0
2881,0,1,1,0,0,0,1,0,0,0
2882,1,1,1,0,0,1,0,1,0,0
2883,0,1,1,0,0,0,0,0,0,0
2884,1,1,0,0,0,1,0,0,0,0
2885,0,1,0,0,0,0,0,0,0,0
2886,1,1,0,0,0,0,0,0,0,0
2887,1,1,0,0,0,1,1,0,0,0
2888,0,1,0,0,0,0,0,0,0,0
2889,0,1,0,1,0,1,0,0,0,0
2890,1,1,0,0,0,0,1,0,0,0
2891,1,1,0,0,0,0,0,0,0,0
2892,1,1,0,0,0,0,0,0,0,0
2897,0,1,0,0,0,0,0,0,0,0
2901,0,1,0,0,0,1,0,0,0,1
2903,0,1,0,0,0,0,0,0,0,0
2904,0,1,0,0,0,0,0,0,0,0
2905,1,1,0,0,0,1,0,0,0,0
2906,0,1,0,0,0,0,1,0,0,0
2908,1,1,0,0,0,0,1,0,0,0
2910,0,1,0,0,0,0,0,0,0,0
2911,1,1,0,0,0,0,1,0,0,0
2912,1,1,1,0,0,1,0,0,0,0
2913,0,1,0,0,0,0,0,1,0,0
2915,0,1,1,0,0,0,0,0,0,0
2923,1,1,0,0,0,1,1,0,0,1
2939,0,1,0,0,0,0,0,0,0,0
2945,0,1,0,1,0,1,0,0,0,1
3002,1,1,0,0,0,0,0,0,0,0
3003,0,1,1,0,0,1,1,0,0,0
3004,0,1,0,0,0,0,0,0,0,0
3005,1,1,1,0,0,0,0,0,0,0
3006,0,1,0,0,0,0,0,0,0,0
3008,1,1,0,0,0,1,1,0,0,0
3010,0,1,0,0,0,0,0,0,0,0
3011,0,1,0,0,0,0,0,0,0,0
3013,1,1,1,1,0,1,0,0,0,0
3014,0,1,0,0,0,0,0,0,0,0
3015,0,1,0,0,0,0,0,0,0,0
3016,0,1,0,0,0,0,0,0,0,0
3017,0,1,0,0,0,0,0,0,0,0
3018,1,1,0,0,0,0,0,0,0,0
3019,1,1,0,0,0,0,1,0,0,0
3021,1,1,1,0,0,0,1,0,0,0
3022,1,1,0,0,0,0,0,0,0,0
3023,0,0,0,0,0,1,0,1,1,0
3024,0,1,0,0,0,0,1,0,0,0
3025,1,1,1,0,0,0,0,0,0,0
3026,0,1,0,0,0,0,1,0,0,0
